"","long","lat"
"V.126",12.5765698989434,-85.4145618353793
"V.127",16.1397199332672,-86.4174453414014
"V.128",22.4499951036586,-87.3989435251323
"V.129",35.9999975866967,-88.3143732890215
"V.130",72.0000088337717,-88.961082920395
"V.131",37.1078406096944,26.8818248183239
"V.132",37.7840293375257,26.0331174648892
"V.133",38.449272687212,25.1832199509915
"V.134",39.1036867719693,24.3329501917842
"V.135",39.747473082378,23.4827760552252
"V.136",40.3810209392208,22.6330305130366
"V.137",41.0047469840372,21.7839218859881
"V.138",41.6191737262987,20.9356772778696
"V.139",42.2248168452874,20.088709915126
"V.140",42.8216148693011,19.2429224675614
"V.141",43.4103976663237,18.3983593314056
"V.142",43.9916126137459,17.5550922236448
"V.143",44.5657002587692,16.7131382197519
"V.144",45.1330328467034,15.8725126876526
"V.145",45.69413288702,15.0332770990493
"V.146",46.249246266529,14.1953554680877
"V.147",46.7992711551064,13.3597253655926
"V.148",47.3429747036069,12.5255022820665
"V.149",47.8820064027151,11.692607670334
"V.150",48.4165745732008,10.8609091954799
"V.151",48.9472153849136,10.0304034424096
"V.152",49.4741269133397,9.20097002903898
"V.153",49.9978009320992,8.37260639404712
"V.154",50.5184286864888,7.5451588581777
"V.155",51.0364882897505,6.71858174454063
"V.156",51.5521607418973,5.89275552482543
"V.157",52.0659275712657,5.06765543959638
"V.158",52.5779936835307,4.24313677422042
"V.159",53.088765474948,3.41915043671289
"V.160",53.5984751719494,2.59558436928274
"V.161",54.1074984349391,1.77233761319628
"V.162",54.6161153016733,0.94933386243389
"V.163",55.1246399608537,0.126430323353227
"V.164",55.6333695257092,-0.696416386419108
"V.165",56.1426318453199,-1.51933844171572
"V.166",56.6527547687661,-2.34238968363719
"V.167",57.1639978432361,-3.16573483713638
"V.168",57.6767469744181,-3.98938756259163
"V.169",58.1912446340277,-4.81350708878796
"V.170",58.7079074636041,-5.63810302067891
"V.171",59.226919878255,-6.46337044554263
"V.172",59.7487326704657,-7.28929484922714
"V.173",60.2735644062895,-8.11603716806477
"V.174",60.8019000291575,-8.94359825582914
"V.175",61.3339444447448,-9.7721300842293
"V.176",61.8701689361041,-10.601601917414
"V.177",62.4108193900457,-11.4321682884132
"V.178",62.9563875801896,-12.2637984613756
"V.179",63.5067710536984,-13.0976595448757
"V.180",64.0638003012696,-13.9327167652541
"V.181",64.6267581530404,-14.7689829291157
"V.182",65.1961432128202,-15.6063777817376
"V.183",65.7722969900674,-16.4449645023697
"V.184",66.355615635754,-17.284667958931
"V.185",66.9465567725544,-18.1254744910434
"V.186",67.5455507023862,-18.9673294571933
"V.187",68.1528979535728,-19.8104770366436
"V.188",68.7694591299499,-20.6544493614362
"V.189",69.3953298541657,-21.4990620164636
"V.190",70.0309335979487,-22.3441749828476
"V.191",70.6766870028384,-23.1895440813255
"V.192",71.3329520688607,-24.0348551231954
"V.193",72.0000020035825,-24.8795531555874
