"","long","lat"
"V.127",88.259554190743,-82.8376817256952
"V.128",94.5248457352607,-84.7922154887752
"V.129",108.000003005374,-86.62368290339
"V.130",144.000058648678,-87.9243421666571
"V.131",110.219391013899,27.189244802677
"V.132",111.557213336441,25.4776796513945
"V.133",112.852183052129,23.7645042830153
"V.134",114.106670236607,22.0530945185364
"V.135",115.324561267512,20.3456889524585
"V.136",116.508451616729,18.6431225754076
"V.137",117.662657963813,16.9457932459027
"V.138",118.790650044862,15.2540578413281
"V.139",119.896307407325,13.5695001117975
"V.140",120.979944239904,11.8906601043759
"V.141",122.046778807125,10.2168454086361
"V.142",123.099734429953,8.54759413303556
"V.143",124.141543184055,6.88216136006785
"V.144",125.174882503586,5.2200100661095
"V.145",126.202429822701,3.56039938907899
"V.146",127.226712311393,1.9026238985011
"V.147",128.250284460411,0.245820962827992
"V.148",129.2755778171,-1.41064996161843
"V.149",130.305187853344,-3.06761404706727
"V.150",131.341655399515,-4.72573232776413
"V.151",132.387548606741,-6.38580468289385
"V.152",133.445408305393,-8.04841146509247
"V.153",134.5181168353,-9.71415970742247
"V.154",135.608447253266,-11.3835134358606
"V.155",136.71870816323,-13.0589443251127
"V.156",137.854336395771,-14.7386142005185
"V.157",139.01672530948,-16.4223548686696
"V.158",140.209085093268,-18.1098794616209
"V.159",141.434666917178,-19.8013109227775
"V.160",142.697445951309,-21.4948051010633
"V.161",144.000004007165,-23.1887210435305
"V.162",145.3447043302,-24.8795224197361
"V.163",146.219378355312,-27.189244802677
"V.164",146.274484321536,-29.2783811037305
"V.165",146.333688401262,-31.356373951153
"V.166",146.397113537894,-33.4206381183439
"V.167",146.465893542836,-35.470309586373
"V.168",146.539386378306,-37.5051663740924
"V.169",146.618835138731,-39.5262295947829
"V.170",146.705059446814,-41.5342403239696
"V.171",146.800695755572,-43.529085863531
"V.172",146.902602177989,-45.5116029116406
"V.173",147.014193808648,-47.4844176760341
"V.174",147.136973289169,-49.4488313077485
"V.175",147.272470581923,-51.4063669389688
"V.176",147.422830366312,-53.3583325509209
"V.177",147.590730076489,-55.3062307852222
"V.178",147.779284278717,-57.2514823212202
"V.179",147.992468143091,-59.1956102910997
"V.180",148.235417971868,-61.1399260911814
"V.181",148.514841010814,-63.0859016272314
"V.182",148.839630166226,-65.0348687861378
"V.183",149.221574344613,-66.9881457944106
"V.184",149.676970377335,-68.9468459728843
"V.185",150.22951902081,-70.9120484914479
"V.186",150.913712730349,-72.8844910105317
